target_url,agency,bureau,branch,source_list_mil_1
cnmoc.usff.navy.mil,Navy,"Commander, Naval Meteorology and Oceanography Command",Executive,TRUE
surflant.usff.navy.mil,Navy,"Commander, Naval Surface Force Atlantic",Executive,TRUE
surfpac.navy.mil,Navy,"Commander, Naval Surface Force, U.S. Pacific Fleet",Executive,TRUE
necc.usff.navy.mil,Navy,"Commander, Navy Expeditionary Combat Command",Executive,TRUE
cnic.navy.mil,Navy,"Commander, Navy Installations Command (CNIC)",Executive,TRUE
cnreurafcent.cnic.navy.mil,Navy,"Commander, Navy Region Europe, Africa, Central",Executive,TRUE
cnrh.cnic.navy.mil,Navy,"Commander, Navy Region Hawaii",Executive,TRUE
cnrma.cnic.navy.mil,Navy,"Commander, Navy Region Mid-Atlantic",Executive,TRUE
cnrnw.cnic.navy.mil,Navy,"Commander, Navy Region Northwest",Executive,TRUE
cnrse.cnic.navy.mil,Navy,"Commander, Navy Region Southeast",Executive,TRUE
cnrsw.cnic.navy.mil,Navy,"Commander, Navy Region Southwest",Executive,TRUE
cnrj.cnic.navy.mil,Navy,"Commander, Navy Region, Japan",Executive,TRUE
cnrk.cnic.navy.mil,Navy,"Commander, Navy Region, Korea",Executive,TRUE
cprw1.navy.mil,Navy,"Commander, Patrol and Reconnaissance Wing One",Executive,TRUE
c2f.usff.navy.mil,Navy,"Commander, U.S. 2nd Fleet",Executive,TRUE
c3f.navy.mil,Navy,"Commander, U.S. 3rd Fleet",Executive,TRUE
cpf.navy.mil,Navy,"Commander, U.S. Pacific Fleet",Executive,TRUE
ewtgpac.navy.mil,Navy,Expeditionary Warfare Training Group,Executive,TRUE
ffsp.navy.mil,Navy,Fleet and Family Support Program,Executive,TRUE
fcc.navy.mil,Navy,Fleet Cyber Command/U.S. Tenth Fleet,Executive,TRUE
frcse.navair.navy.mil,Navy,Fleet Readiness Center South East (FRCSE),Executive,TRUE
frcsw.navair.navy.mil,Navy,Fleet Readiness Center Southwest,Executive,TRUE
c6f.navy.mil,Navy,LCPO for U.S. Naval Forces Europe-Africa/U.S. 6th Fleet,Executive,TRUE
nmio.ise.gov,Navy,National Maritime Intelligence Office,Executive,TRUE
airlant.usff.navy.mil,Navy,Naval Air Force U.S. Atlantic Fleet,Executive,TRUE
airpac.navy.mil,Navy,"Naval Air Force, U.S. Pacific Fleet",Executive,TRUE
navalaviationnews.navylive.dodlive.mil,Navy,Naval Aviation News,Executive,TRUE
ncis.navy.mil,Navy,Naval Criminal Investigative Service (NCIS),Executive,TRUE
netc.navy.mil,Navy,Naval Education and Training Command,Executive,TRUE
atlantic.navfac.navy.mil,Navy,Naval Facilities Engineering Systems Command - Atlantic,Executive,TRUE
exwc.navfac.navy.mil,Navy,Naval Facilities Engineering Systems Command - Engineering and Expeditionary Warfare Center,Executive,TRUE
ncc.navfac.navy.mil,Navy,Naval Facilities Engineering Systems Command - Navy Crane Center,Executive,TRUE
pacific.navfac.navy.mil,Navy,Naval Facilities Engineering Systems Command - Pacific,Executive,TRUE
navfac.navy.mil,Navy,Naval Facilities Engineering Systems Command (NAVFAC),Executive,TRUE
navalsafetycenter.navy.mil,Navy,Naval Safety Center,Executive,TRUE
navsea.navy.mil,Navy,NAVAL Sea Systems Command,Executive,TRUE
nsw.navy.mil,Navy,Naval Special Warfare Command,Executive,TRUE
scnewsltr.dodlive.mil,Navy,Naval Supply Corps Newsletter,Executive,TRUE
navsup.navy.mil,Navy,Naval Supply Systems Command,Executive,TRUE
bootcamp.navy.mil,Navy,"Navy Education and Training Command (NETC), Bootcamp",Executive,TRUE
jag.navylive.dodlive.mil,Navy,Navy JAG,Executive,TRUE
outreach.navy.mil,Navy,Navy Office of Community Outreach,Executive,TRUE
cnrc.navy.mil,Navy,Navy Recruiting Command,Executive,TRUE
navyreserve.navy.mil,Navy,Navy Reserve Forces Command (RESFOR),Executive,TRUE
nwdc.usff.navy.mil,Navy,Navy Warfare Development Command,Executive,TRUE
oni.navy.mil,Navy,Office of Naval Intelligence,Executive,TRUE
p2p.navy.mil,Navy,Performance To Plan,Executive,TRUE
insurv.usff.navy.mil,Navy,President Board of Inspection and Survey,Executive,TRUE
ready.navy.mil,Navy,Ready Navy,Executive,TRUE
seabeemagazine.navylive.dodlive.mil,Navy,SeaBee Magazine,Executive,TRUE
seaport.navy.mil,Navy,"SeaPort (Harnessing Power, Navigating Change",Executive,TRUE
sublant.usff.navy.mil,Navy,Submarine Force U.S. Atlantic Fleet,Executive,TRUE
ttgp.navy.mil,Navy,"Tactical Training Group, Pacific",Executive,TRUE
usff.navy.mil,Navy,U.S. Fleet Forces,Executive,TRUE
msc.usff.navy.mil,Navy,U.S. Military Sealift Command,Executive,TRUE
nepa.navy.mil,Navy,U.S. National Environment Agency,Executive,TRUE
usncc.edu,Navy,U.S. Naval Community College,Executive,TRUE
cusnc.navy.mil,Navy,U.S. Naval Forces Central Command,Executive,TRUE
fourthfleet.navy.mil,Navy,U.S. Naval Forces Southern Command / U.S. Fourth Fleet,Executive,TRUE
nrl.navy.mil,Navy,U.S. Naval Research Laboratory,Executive,TRUE
srf.navy.mil,Navy,"U.S. Naval Ship Repair Facility, Japan Regional Maintenance Center",Executive,TRUE
navy.mil,Navy,U.S. Navy,Executive,TRUE
usnhistory.navylive.dodlive.mil,Navy,U.S. Navy History Blog,Executive,TRUE
atlanticarea.uscg.mil,Coast Guard,Atlantic Area,Executive,TRUE
dcms.uscg.mil,Coast Guard,Deputy Commandant for Mission Support,Executive,TRUE
dco.uscg.mil,Coast Guard,Deputy Commandant for Operations,Executive,TRUE
forcecom.uscg.mil,Coast Guard,Forcecom,Executive,TRUE
history.uscg.mil,Coast Guard,History,Executive,TRUE
mycg.uscg.mil,Coast Guard,MyCG,Executive,TRUE
ncgm.uscg.mil,Coast Guard,National Coast Guard Museum,Executive,TRUE
news.uscg.mil,Coast Guard,News,Executive,TRUE
pacificarea.uscg.mil,Coast Guard,Pacific Area,Executive,TRUE
reserve.uscg.mil,Coast Guard,Reserve,Executive,TRUE
uscg.mil,Coast Guard,United States Coast Guard,Executive,TRUE
al.ng.mil,National Guard,Alabama National Guard,Executive,TRUE
ak.ng.mil,National Guard,Alaska National Guard,Executive,TRUE
arkansas.nationalguard.mil,National Guard,Arkansas National Guard,Executive,TRUE
army.nationalguard.mil,National Guard,Army National Guard,Executive,TRUE
atterburymuscatatuck.in.ng.mil,National Guard,Atterbury Muscatatuck,Executive,TRUE
co.ng.mil,National Guard,Colorado National Guard,Executive,TRUE
ct.ng.mil,National Guard,Connecticut National Guard,Executive,TRUE
dc.ng.mil,National Guard,D.C. National Guard,Executive,TRUE
de.ng.mil,National Guard,Delaware National Guard,Executive,TRUE
ftig.ng.mil,National Guard,Fort Indiantown Gap,Executive,TRUE
ga.ng.mil,National Guard,Georgia National Guard,Executive,TRUE
gu.ng.mil,National Guard,Guam National Guard,Executive,TRUE
il.ngb.army.mil,National Guard,Illinois National Guard,Executive,TRUE
in.ng.mil,National Guard,Indiana National Guard,Executive,TRUE
ky.ng.mil,National Guard,Kentucky Guard,Executive,TRUE
me.ngb.army.mil,National Guard,Maine National Guard,Executive,TRUE
campedwards.ng.mil,National Guard,Massachusetts Army National Guard,Executive,TRUE
minationalguard.dodlive.mil,National Guard,Michigan National Guard,Executive,TRUE
moguard.ngb.mil,National Guard,Missouri National Guard,Executive,TRUE
nationalguard.mil,National Guard,National Guard,Executive,TRUE
ngbpmc.ng.mil,National Guard,National Guard Bureau Publications & Forms Library,Executive,TRUE
nh.ng.mil,National Guard,New Hampshire National Guard,Executive,TRUE
ok.ng.mil,National Guard,Oklahoma National Guard,Executive,TRUE
pa.ng.mil,National Guard,Pennsylvania National Guard,Executive,TRUE
ri.ng.mil,National Guard,Rhode Island National Guard,Executive,TRUE
scguard.ng.mil,National Guard,South Carolina National Guard,Executive,TRUE
ut.ng.mil,National Guard,Utah National Guard,Executive,TRUE
vt.public.ng.mil,National Guard,Vermont National Guard,Executive,TRUE
ngfamily.vt.gov,National Guard,Vermont National Guard Family Programs,Executive,TRUE
vi.ng.mil,National Guard,Virgin Islands National Guard,Executive,TRUE
va.ng.mil,National Guard,Virginia National Guard,Executive,TRUE
wv.ng.mil,National Guard,West Virginia National Guard,Executive,TRUE
buckley.spaceforce.mil,Space Force,Buckley Space Force Base,Executive,TRUE
losangeles.spaceforce.mil,Space Force,Los Angeles Space Force Base,Executive,TRUE
patrick.spaceforce.mil,Space Force,Patrick Space Force Base/Space Launch Delta 45,Executive,TRUE
peterson.spaceforce.mil,Space Force,Peterson Space Force Base,Executive,TRUE
schriever.spaceforce.mil,Space Force,Schriever Space Force Base,Executive,TRUE
spoc.spaceforce.mil,Space Force,Space Operations Command (SPOC),Executive,TRUE
ssc.spaceforce.mil,Space Force,Space Systems Command,Executive,TRUE
starcom.spaceforce.mil,Space Force,Space Training ad Readiness Command (STARCOM),Executive,TRUE
vandenberg.spaceforce.mil,Space Force,Vandenberg Space Force Base,Executive,TRUE
airforceacademy.tricare.mil,Defense Health Agency,10th Medical Group - Air Force Academy,Executive,TRUE
anacostiabolling.tricare.mil,Defense Health Agency,11th Medical Squadron - Joint Base Anacostia-Bolling,Executive,TRUE
columbus.tricare.mil,Defense Health Agency,14th Medical Group - Columbus Air Force Base,Executive,TRUE
goodfellow.tricare.mil,Defense Health Agency,17th Medical Group - Goodfellow Air Force Base,Executive,TRUE
kadena.tricare.mil,Defense Health Agency,18th Medical Group - Kadena Air Base,Executive,TRUE
littlerock.tricare.mil,Defense Health Agency,19th Medical Group - Little Rock Air Force Base,Executive,TRUE
hurlburt.tricare.mil,Defense Health Agency,1st Special Operations Medical Group - Hurlburt Field,Executive,TRUE
shaw.tricare.mil,Defense Health Agency,20th Medical Group - Shaw Air Force Base,Executive,TRUE
peterson.tricare.mil,Defense Health Agency,21st Medical Group - Peterson Air Force Base,Executive,TRUE
mcconnell.tricare.mil,Defense Health Agency,22d Medical Group - McConnell Air Force Base,Executive,TRUE
moody.tricare.mil,Defense Health Agency,23d Medical Group - Moody Air Force Base,Executive,TRUE
cannon.tricare.mil,Defense Health Agency,27th Special Operations Medical Group - Cannon Air Force Base,Executive,TRUE
ellsworth.tricare.mil,Defense Health Agency,28th Medical Group - Ellsworth Air Force Base,Executive,TRUE
barksdale.tricare.mil,Defense Health Agency,2d Medical Group - Barksdale Air Force Base,Executive,TRUE
vandenberg.tricare.mil,Defense Health Agency,30th Medical Group - Vandenberg Air Force Base,Executive,TRUE
andrews.tricare.mil,Defense Health Agency,316th Medical Group - Joint Base Andrews (Malcom Grow Medical Clinics and Surgery Center),Executive,TRUE
grandforks.tricare.mil,Defense Health Agency,319th Medical Group - Grand Forks Air Force Base,Executive,TRUE
aviano.tricare.mil,Defense Health Agency,31st Medical Group - Aviano Air Base,Executive,TRUE
tyndall.tricare.mil,Defense Health Agency,325th Medical Group - Tyndall Air Force Base,Executive,TRUE
malmstrom.tricare.mil,Defense Health Agency,341st Medical Group - Malmstrom Air Force Base,Executive,TRUE
eielson.tricare.mil,Defense Health Agency,354th Medical Group - Eielson Air Force Base,Executive,TRUE
davismonthan.tricare.mil,Defense Health Agency,355th Medical Group - Davis-Monthan Air Force Base,Executive,TRUE
misawa.tricare.mil,Defense Health Agency,35th Medical Group - Misawa Air Base,Executive,TRUE
mountainhome.tricare.mil,Defense Health Agency,366th Medical Group - Mountain Home Air Force Base,Executive,TRUE
andersen.tricare.mil,Defense Health Agency,36th Medical Group - Andersen Air Force Base,Executive,TRUE
yokota.tricare.mil,Defense Health Agency,374th Medical Group - Yokota Air Base,Executive,TRUE
scott.tricare.mil,Defense Health Agency,375th Medical Group - Scott Air Force Base,Executive,TRUE
kirtland.tricare.mil,Defense Health Agency,377th Medical Group - Kirtland Air Force Base,Executive,TRUE
incirlik.tricare.mil,Defense Health Agency,39th Medical Group - Incirlik Air Base,Executive,TRUE
edwards.tricare.mil,Defense Health Agency,412th Medical Group - Edwards Air Force Base,Executive,TRUE
rafcroughton.tricare.mil,Defense Health Agency,422d Medical Squadron - RAF Croughton,Executive,TRUE
rafalconbury.tricare.mil,Defense Health Agency,423d Medical Squadron - RAF Alconbury,Executive,TRUE
maxwell.tricare.mil,Defense Health Agency,42d Medical Group - Maxwell Air Force Base,Executive,TRUE
dover.tricare.mil,Defense Health Agency,436th Medical Group - Dover Air Force Base,Executive,TRUE
pope.tricare.mil,Defense Health Agency,43d Medical Squadron - Pope Field,Executive,TRUE
patrick.tricare.mil,Defense Health Agency,45th Medical Group - Patrick Air Force Base,Executive,TRUE
buckley.tricare.mil,Defense Health Agency,460th Medical Group - Buckley Air Force Base,Executive,TRUE
laughlin.tricare.mil,Defense Health Agency,47th Medical Group - Laughlin Air Force Base,Executive,TRUE
raflakenheath.tricare.mil,Defense Health Agency,48th Medical Group - RAF Lakenheath,Executive,TRUE
holloman.tricare.mil,Defense Health Agency,49th Medical Group - Holloman Air Force Base,Executive,TRUE
seymourjohnson.tricare.mil,Defense Health Agency,4th Medical Group - Seymour Johnson Air Force Base,Executive,TRUE
whiteman.tricare.mil,Defense Health Agency,509th Medical Group - Whiteman Air Force Base,Executive,TRUE
osan.tricare.mil,Defense Health Agency,51st Medical Group - Osan Air Base,Executive,TRUE
spangdahlem.tricare.mil,Defense Health Agency,52nd Medical Group - Spangdahlem Air Base,Executive,TRUE
offutt.tricare.mil,Defense Health Agency,55th Medical Group - Offutt Air Force Base,Executive,TRUE
luke.tricare.mil,Defense Health Agency,56th Medical Group - Luke Air Force Base,Executive,TRUE
wilfordhall.tricare.mil,Defense Health Agency,59th Medical Wing - JBSA - Wilford Hall Ambulatory Surgical Center,Executive,TRUE
minot.tricare.mil,Defense Health Agency,5th Medical Group - Minot Air Force Base,Executive,TRUE
travis.tricare.mil,Defense Health Agency,60th Medical Group - Travis Air Force Base,Executive,TRUE
losangeles.tricare.mil,Defense Health Agency,61st Medical Squadron - Los Angeles Air Force Base,Executive,TRUE
charleston.tricare.mil,Defense Health Agency,628th Medical Group - Joint Base Charleston,Executive,TRUE
lewismcchord.tricare.mil,Defense Health Agency,62nd Medical Squadron - Joint Base Lewis-McChord,Executive,TRUE
langleyeustis.tricare.mil,Defense Health Agency,633d Medical Group - Joint Base Langley-Eustis,Executive,TRUE
hanscom.tricare.mil,Defense Health Agency,66th Medical Squadron - Hanscom Air Force Base,Executive,TRUE
elmendorfrichardson.tricare.mil,Defense Health Agency,673d Medical Group - Joint Base Elmendorf-Richardson,Executive,TRUE
macdill.tricare.mil,Defense Health Agency,6th Medical Group - MacDill Air Force Base,Executive,TRUE
vance.tricare.mil,Defense Health Agency,71st Medical Group - Vance Air Force Base,Executive,TRUE
tinker.tricare.mil,Defense Health Agency,72d Medical Group - Tinker Air Force Base,Executive,TRUE
hill.tricare.mil,Defense Health Agency,75th Medical Group - Hill Air Force Base,Executive,TRUE
robins.tricare.mil,Defense Health Agency,78th Medical Group - Robins Air Force Base,Executive,TRUE
dyess.tricare.mil,Defense Health Agency,7th Medical Group - Dyess Air Force Base,Executive,TRUE
keesler.tricare.mil,Defense Health Agency,81st Medical Group - Keesler Air Force Base,Executive,TRUE
sheppard.tricare.mil,Defense Health Agency,82nd Medical Group - Sheppard Air Force Base,Executive,TRUE
ramstein.tricare.mil,Defense Health Agency,86th Medical Group - Ramstein Air Base,Executive,TRUE
mcguiredixlakehurst.tricare.mil,Defense Health Agency,87th Medical Group - Joint Base McGuire-Dix-Lakehurst,Executive,TRUE
wrightpatterson.tricare.mil,Defense Health Agency,88th Medical Group - Wright-Patterson Air Force Base,Executive,TRUE
kunsan.tricare.mil,Defense Health Agency,8th Medical Group - Kunsan Air Base,Executive,TRUE
fewarren.tricare.mil,Defense Health Agency,90th Medical Group - F.E. Warren Air Force Base,Executive,TRUE
fairchild.tricare.mil,Defense Health Agency,92d Medical Group - Fairchild Air Force Base,Executive,TRUE
eglin.tricare.mil,Defense Health Agency,96th Medical Group - Eglin Air Force Base,Executive,TRUE
altus.tricare.mil,Defense Health Agency,97th Medical Group - Altus Air Force Base,Executive,TRUE
nellis.tricare.mil,Defense Health Agency,99th Medical Group - Nellis Air Force Base,Executive,TRUE
beale.tricare.mil,Defense Health Agency,9th Medical Group - Beale Air Force Base,Executive,TRUE
bayne-jones.tricare.mil,Defense Health Agency,ACH Bayne-Jones-Polk,Executive,TRUE
leonard-wood.tricare.mil,Defense Health Agency,ACH Leonard Wood,Executive,TRUE
weed-irwin.tricare.mil,Defense Health Agency,ACH Weed-Irwin,Executive,TRUE
briandallgood.tricare.mil,Defense Health Agency,ACH-Brian Allgood AHC-Seoul,Executive,TRUE
bg-crawford.tricare.mil,Defense Health Agency,AHC BG Crawford Sams-Camp Zama,Executive,TRUE
guantanamo.tricare.mil,Defense Health Agency,AHC Guantanamo Bay,Executive,TRUE
munson.tricare.mil,Defense Health Agency,AHC Munson-Leavenworth,Executive,TRUE
raymond-bliss.tricare.mil,Defense Health Agency,AHC R W Bliss-Huachuca,Executive,TRUE
reynolds.tricare.mil,Defense Health Agency,AHC Reynolds-Sill,Executive,TRUE
bamc.tricare.mil,Defense Health Agency,AMC Brooke Army Medical Center-FSH,Executive,TRUE
madigan.tricare.mil,Defense Health Agency,AMC Madigan-Lewis,Executive,TRUE
william-beaumont.tricare.mil,Defense Health Agency,AMC William Beaumont-Bliss,Executive,TRUE
rader.tricare.mil,Defense Health Agency,Andrew Rader Army Health Clinic,Executive,TRUE
southcomclinic.tricare.mil,Defense Health Agency,Army Health Clinic SOUTHCOM,Executive,TRUE
darnall.tricare.mil,Defense Health Agency,Army Medical Center Darnall-Hood,Executive,TRUE
womack.tricare.mil,Defense Health Agency,Army Medical Center Womack-Bragg,Executive,TRUE
barquist.tricare.mil,Defense Health Agency,Barquist Army Health Clinic,Executive,TRUE
bassett-wainwright.tricare.mil,Defense Health Agency,Bassett-Wainwright ACH,Executive,TRUE
mhs-europe.tricare.mil,Defense Health Agency,Bavaria MEDDAC-Vilseck,Executive,TRUE
blanchfield.tricare.mil,Defense Health Agency,Blanchfield-Campbell Army Community Hospital,Executive,TRUE
calmed.tricare.mil,Defense Health Agency,California Medical Detachment,Executive,TRUE
desmond-doss.tricare.mil,Defense Health Agency,Desmond Doss Health Clinic,Executive,TRUE
dunham.tricare.mil,Defense Health Agency,Duham Army Health Clinic,Executive,TRUE
eisenhower.tricare.mil,Defense Health Agency,Eisenhower Army Medical Center,Executive,TRUE
evans.tricare.mil,Defense Health Agency,Evans Army Community Hospital,Executive,TRUE
belvoirhospital.tricare.mil,Defense Health Agency,Fort Belvoir Community Hospital,Executive,TRUE
guthrie.tricare.mil,Defense Health Agency,Fort Drum and Guthrie Ambulatory,Executive,TRUE
redstone.tricare.mil,Defense Health Agency,Fox Army Health Center,Executive,TRUE
ireland.tricare.mil,Defense Health Agency,Ireland Army Health Clinic,Executive,TRUE
irwin.tricare.mil,Defense Health Agency,Irwin Army Community Hospital,Executive,TRUE
pearlharborhickam.tricare.mil,Defense Health Agency,Joint Base Pearl Harbor-Hickman,Executive,TRUE
keller.tricare.mil,Defense Health Agency,Keller-West Point Army Community Hospital,Executive,TRUE
kenner.tricare.mil,Defense Health Agency,Kenner Army Health Clinic,Executive,TRUE
kimbrough.tricare.mil,Defense Health Agency,Kimbrough Ambulatory Care Center,Executive,TRUE
landstuhl.tricare.mil,Defense Health Agency,Landstuhl Regional Medcen,Executive,TRUE
lyster.tricare.mil,Defense Health Agency,Lyster Army Health Clinic,Executive,TRUE
martin.tricare.mil,Defense Health Agency,Martin-Benning Army Community Hospital,Executive,TRUE
mcdonald.tricare.mil,Defense Health Agency,McDonald-Eustis Army Health Center,Executive,TRUE
moncrief.tricare.mil,Defense Health Agency,Moncrief Army Health Clinic,Executive,TRUE
annapolis.tricare.mil,Defense Health Agency,Naval Health Clinic Annapolis,Executive,TRUE
nhc-charleston.tricare.mil,Defense Health Agency,Naval Health Clinic Charleston,Executive,TRUE
cherrypoint.tricare.mil,Defense Health Agency,Naval Health Clinic Cherry Point,Executive,TRUE
corpuschristi.tricare.mil,Defense Health Agency,Naval Health Clinic Corpus Christi,Executive,TRUE
lemoore.tricare.mil,Defense Health Agency,Naval Health Clinic Lemoore,Executive,TRUE
newengland.tricare.mil,Defense Health Agency,Naval Health Clinic New England,Executive,TRUE
bremerton.tricare.mil,Defense Health Agency,Naval Hospital Bremerton,Executive,TRUE
camp-pendleton.tricare.mil,Defense Health Agency,Naval Hospital Camp Pendleton,Executive,TRUE
guam.tricare.mil,Defense Health Agency,Naval Hospital Guam,Executive,TRUE
jacksonville.tricare.mil,Defense Health Agency,Naval Hospital Jacksonville,Executive,TRUE
naples.tricare.mil,Defense Health Agency,Naval Hospital Naples,Executive,TRUE
sigonella.tricare.mil,Defense Health Agency,Naval Hospital Sigonella,Executive,TRUE
twentynine-palms.tricare.mil,Defense Health Agency,Naval Hospital Twentynine Palms,Executive,TRUE
yokosuka.tricare.mil,Defense Health Agency,Naval Hospital Yokosuka,Executive,TRUE
camp-lejeune.tricare.mil,Defense Health Agency,Naval Medical Center Camp Lejeune,Executive,TRUE
portsmouth.tricare.mil,Defense Health Agency,Naval Medical Center Portsmouth,Executive,TRUE
sandiego.tricare.mil,Defense Health Agency,Naval Medical Center San Diego,Executive,TRUE
pensacola.tricare.mil,Defense Health Agency,Navy Hospital Pensacola,Executive,TRUE
rota.tricare.mil,Defense Health Agency,Navy Medicine Readiness and Training Center Rota,Executive,TRUE
diegogarcia.tricare.mil,Defense Health Agency,NBHC NSF Diego Garcia,Executive,TRUE
newsroom.tricare.mil,Defense Health Agency,Newsroom,Executive,TRUE
nhchawaii.tricare.mil,Defense Health Agency,NHC Hawaii,Executive,TRUE
oakharbor.tricare.mil,Defense Health Agency,NHC Oak Harbor,Executive,TRUE
paxriver.tricare.mil,Defense Health Agency,NHC Patuxent River,Executive,TRUE
quantico.tricare.mil,Defense Health Agency,NHC Quantico,Executive,TRUE
beaufort.tricare.mil,Defense Health Agency,NMRTC Beaufort,Executive,TRUE
rodriguez.tricare.mil,Defense Health Agency,Rodriguez-Buchanan Army Health Clinic,Executive,TRUE
tripler.tricare.mil,Defense Health Agency,Tripler Army Medical Center,Executive,TRUE
okinawa.tricare.mil,Defense Health Agency,U.S. Naval Hospital Okinawa,Executive,TRUE
wrair.health.mil,Defense Health Agency,Walter Reed Army Institute of Research,Executive,TRUE
walterreed.tricare.mil,Defense Health Agency,Walter Reed National MILMED CNTR,Executive,TRUE
winn.tricare.mil,Defense Health Agency,Winn Army Community Hospital,Executive,TRUE
